初始acc,换乘acc,花费时间,距离
150998815,150997017,300,314
150997017,150998815,300,314
151017759,150997505,300,550
150997505,151017759,300,550
150997271,150996507,180,95
150996507,150997271,120,95
150998573,150996029,60,66
150996029,150998573,60,66
150997277,150996757,60,47
150996757,150997277,60,47
150997521,150997021,120,109
150997021,150997521,180,156
150996765,150996025,60,46
150996025,150996765,60,46
150996523,150995468,240,271
150995468,150996523,180,162
150996513,150995458,180,148
150995458,150996513,180,148
150996279,150995465,180,205
150995465,150996279,180,160
151018045,150996503,120,124
150996503,151018045,120,124
150996773,150996281,120,138
150996281,150996773,120,138
150998819,150996257,360,363
150996257,150998819,360,363
150998595,150995223,300,345
150995223,150998595,300,345
150996277,150995219,300,333
150995219,150996277,300,285
150996521,150996273,300,302
150996273,150996521,240,259
151020053,150995470,180,198
150998323,150995470,240,279
150995470,151020053,180,180
150998323,151020053,180,152
150995470,150998323,240,394
151020053,150998323,180,146
150995460,150995214,120,76
150995214,150995460,240,252
151018041,150995210,180,202
150995210,151018041,240,243
150997027,150995473,240,244
150995473,150997027,240,213
151019285,150997293,60,12
150997293,151019285,60,12
150997269,150996007,120,87
150996007,150997269,120,87
150997543,150995222,300,310
150995222,150997543,300,291
150997509,150996001,120,85
150996001,150997509,120,120
150997539,150996527,120,87
150996527,150997539,120,87
150997525,150996261,60,64
150996261,150997525,60,68
150998309,150997005,180,208
150997005,150998309,240,226
150995467,150995220,120,91
150995220,150995467,120,91
151018023,150996033,180,168
150996033,151018023,180,181
150998599,150996529,120,80
150996529,150998599,120,80
150998593,150996781,120,115
150996781,150998593,120,115
150997275,150995211,300,342
150995211,150997275,240,234
150998311,150996251,180,164
150996251,150998311,180,174
151018037,150997281,60,50
150997281,151018037,60,50
150997031,150996519,120,108
150996519,150997031,180,192
150996515,150996015,240,255
150996015,150996515,240,248
150998581,150996285,120,140
150996285,150998581,120,140
150998559,150997283,60,58
150997283,150998559,120,116
150997531,151020055,120,133
151020055,150997531,120,123
150998317,150997527,180,211
150997527,150998317,180,210
150998585,151018009,240,242
151018009,150998585,240,242
151019777,150995224,120,81
150995224,151019777,120,81
151019778,150995225,120,116
150995225,151019778,120,116
151019541,150996289,180,168
151018015,150996289,120,80
150996289,151019541,120,133
151018015,151019541,180,162
150996289,151018015,60,69
151019541,151018015,180,162
150998825,150998615,240,229
150998615,150998825,240,229
150998823,150998315,360,380
150998315,150998823,300,344
150996021,150995215,300,289
150995215,150996021,300,315
151019049,150998303,60,57
150998303,151019049,60,56
150998561,151018035,120,118
151018035,150998561,120,118
150999079,150995993,180,196
150995993,150999079,180,196
150996011,150995457,60,44
150998293,150995457,360,394
150995457,150996011,60,44
150998293,150996011,360,378
150995457,150998293,360,352
150996011,150998293,420,436
150996023,150995462,120,118
150995462,150996023,120,122
151018533,151019307,15,10
151019307,151018533,15,10
150996267,150995471,240,217
150995471,150996267,120,128
150998297,150997513,240,277
150997513,150998297,240,277
151019045,150996997,120,96
150996997,151019045,120,96
